speciesKey,species,decimalLatitude,decimalLongitude,year,countryCode,taxonRank
1249184.0,Evania appendigaster,-25.02788,46.991055,2025,MG,SPECIES
9595397.0,Phelsuma quadriocellata,-20.536537,47.242402,2025,MG,SPECIES
5221975.0,Furcifer polleni,-12.795064,45.282417,2025,YT,SPECIES
1868115.0,Antherina suraka,-18.886095,47.5225,2025,MG,SPECIES
1953988.0,Chrysiridia rhipheus,-18.953975,47.86819,2025,MG,SPECIES
7642610.0,Danaus chrysippus,-12.345784,43.808021,2025,KM,SPECIES
1938125.0,Papilio demodocus,-12.342842,43.800693,2025,KM,SPECIES
2447511.0,Phelsuma nigra,-12.342908,43.800662,2025,KM,SUBSPECIES
1897972.0,Precis andremiaja,-18.867058,47.517892,2025,MG,SPECIES
2447447.0,Phelsuma lineata,-18.868703,47.517597,2025,MG,SUBSPECIES
5130392.0,Junonia oenone,-12.34281,43.800739,2025,KM,SPECIES
9508060.0,Polybothris quadricollis,-19.240322,47.398024,2025,MG,SPECIES
5130487.0,Junonia rhadama,-18.868587,47.519245,2025,MG,SPECIES
,,-20.478843,47.255198,2025,MG,GENUS
5221975.0,Furcifer polleni,-12.795071,45.282441,2025,YT,SPECIES
2447506.0,Phelsuma laticauda,-12.795005,45.282494,2025,YT,SUBSPECIES
7642610.0,Danaus chrysippus,-18.868488,47.519325,2025,MG,SPECIES
1938125.0,Papilio demodocus,-12.794902,45.282579,2025,YT,SPECIES
2482519.0,Corvus albus,-12.795134,45.283072,2025,YT,SPECIES
2494077.0,Foudia madagascariensis,-12.795166,45.282818,2025,YT,SPECIES
9365307.0,Sanzinia volontany,-16.321383,46.825161,2025,MG,SPECIES
2479555.0,Agapornis canus,-13.527506,48.058541,2025,MG,SPECIES
5843908.0,Oplurus cuvieri,-16.3145,46.814228,2025,MG,SPECIES
5225394.0,Trachylepis comorensis,-12.794919,45.282776,2025,YT,SPECIES
2385035.0,Lutjanus gibbus,-11.671682,43.239125,2025,KM,SPECIES
5230296.0,Hypsipetes madagascariensis,-12.795056,45.282762,2025,YT,SPECIES
5130392.0,Junonia oenone,-18.867313,47.518642,2025,MG,SUBSPECIES
2393577.0,Scarus ghobban,-24.965412,47.083308,2025,MG,SPECIES
1094370.0,Helictopleurus quadripunctatus,-18.867822,47.571018,2025,MG,SPECIES
2494077.0,Foudia madagascariensis,-18.867978,47.570171,2025,MG,SPECIES
2481030.0,Falco newtoni,-18.867978,47.570171,2025,MG,SPECIES
1919346.0,Catopsilia florella,-13.529785,48.056742,2025,MG,SPECIES
